,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
277,kutum,0,SD,1579716930,20,14.2,24.67,55.53,11.39
278,san patricio,67,ML,1579716875,15,13.3,-4.9,91.0,7.2
279,riyadh,20,SA,1579716892,34,24.69,46.72,60.8,16.11
280,mar del plata,75,ES,1579716930,93,43.4,-4.01,51.01,10.58
281,port hardy,84,CD,1579716802,75,-7.03,29.76,76.51,0.74
282,faya,40,SA,1579716930,81,18.39,42.45,55.4,9.17
283,sibi,0,PK,1579716930,57,29.54,67.88,58.46,1.41
284,satun,75,TH,1579716930,94,6.83,100.0,82.4,2.24
285,tacoronte,40,ES,1579716931,71,28.48,-16.41,66.0,6.93
286,emba,100,KZ,1579716931,96,48.83,58.14,30.29,22.03
287,bela vista do paraiso,0,IN,1579716931,61,25.93,81.98,53.46,6.49
288,upernavik,100,GL,1579716931,94,72.79,-56.15,0.57,7.96
289,mangrol,43,IN,1579716931,49,21.12,70.12,72.14,15.21
290,riviere-au-renard,5,CA,1579716931,61,49.0,-64.4,15.8,5.82
291,dubreka,77,GN,1579716931,58,9.79,-13.52,86.0,11.41
292,bichura,78,RU,1579716931,80,50.59,107.6,-7.2,2.19
293,puro,31,PH,1579716931,78,12.48,123.38,75.29,11.39
294,sechura,1,PE,1579716931,88,-5.56,-80.82,70.36,10.22
295,aklavik,75,CA,1579716931,66,68.22,-135.01,-22.0,2.91
296,gat,40,IL,1579716931,93,31.61,34.76,50.0,5.82
297,lahij,89,YE,1579716932,73,13.17,44.58,71.73,9.06
298,haines junction,90,US,1579716932,92,59.23,-135.44,28.4,3.36
299,bairiki,75,KI,1579716932,83,1.33,172.98,80.6,4.7
300,mount isa,91,GB,1579716932,93,53.66,-1.85,48.2,6.93
301,gawler,75,AU,1579716932,77,-34.6,138.73,63.0,11.41
302,fort saint john,93,NL,1579716898,100,52.65,6.39,44.01,2.24
303,huangpu,88,CN,1579716932,92,25.44,113.17,55.06,3.8
304,kargasok,92,RU,1579716932,94,59.06,80.86,4.03,10.67
305,kaeo,3,NZ,1579716932,100,-35.1,173.78,59.0,4.52
306,tromso,90,NO,1579716933,92,69.65,18.96,30.2,2.24
307,nikki,58,BJ,1579716933,11,9.94,3.21,85.89,6.04
308,gao,99,ML,1579716933,13,16.64,1.64,82.83,8.32
309,ambulu,35,ID,1579716933,78,-8.35,113.61,81.93,5.44
310,polson,90,US,1579716933,69,47.69,-114.16,39.0,9.17
311,pombas,20,CV,1579716933,57,17.15,-25.02,77.0,14.99
312,sabinas,100,MX,1579716933,65,27.85,-101.12,58.93,6.49
313,lagoa,100,PT,1579716742,70,39.05,-27.98,57.69,16.2
314,novyy urgal,75,RU,1579716933,75,45.01,38.98,46.99,24.61
315,kalmar,0,SE,1579716933,59,56.66,16.36,39.0,6.93
316,kozhva,100,RU,1579716934,95,65.11,57.05,20.19,6.29
317,cabo san lucas,75,BR,1579716934,74,-8.28,-35.03,84.2,10.29
318,gimli,46,CA,1579716934,95,50.63,-96.99,25.0,3.0
319,taquara,75,BR,1579716934,54,-29.65,-50.78,84.99,16.11
320,taoudenni,82,ML,1579716934,18,22.68,-3.98,72.0,5.26
321,ballina,40,AU,1579716955,88,-28.87,153.57,78.8,11.41
322,aykhal,1,RU,1579716955,58,66.0,111.5,-36.4,2.24
323,sept-iles,90,CA,1579716955,78,50.2,-66.38,17.6,9.17
324,phan thiet,53,TH,1579716955,88,19.55,99.74,62.6,2.24
325,kangaatsiaq,100,GL,1579716955,87,68.31,-53.46,9.45,11.01
326,ust-kulom,100,RU,1579716956,94,61.69,53.69,15.17,5.93
327,jutai,22,BR,1579716956,40,-5.18,-68.9,96.67,3.27
328,koindu,96,GN,1579716956,45,8.44,-10.33,89.31,2.15
329,kamenka,100,RU,1579716956,95,51.32,42.77,34.0,1.99
330,necochea,53,AR,1579716944,86,-38.55,-58.74,82.99,4.0
331,arlit,21,NE,1579716956,11,18.74,7.39,77.16,6.38
332,kuryk,100,KZ,1579716956,73,43.2,51.65,44.8,9.35
333,moranbah,83,AU,1579716956,73,-22.0,148.05,78.67,8.5
334,kharopon,31,GR,1579716956,49,41.27,23.38,39.99,2.1
335,mount pleasant,91,GB,1579716957,93,53.66,-1.85,48.2,6.93
336,topchikha,75,RU,1579716957,85,52.82,83.12,19.4,8.95
337,canoa,40,DO,1579716957,62,18.36,-71.16,84.2,13.87
338,swan hill,0,PH,1579716957,91,18.22,121.38,62.51,2.77
339,caravelas,100,BR,1579716957,80,-17.71,-39.25,79.48,23.49
340,inongo,99,CD,1579716957,50,-1.95,18.27,82.85,2.48
341,conde,75,BR,1579716957,70,-7.26,-34.91,84.2,12.75
342,martapura,75,ID,1579716957,88,-3.42,114.85,80.6,1.12
343,torbay,75,CA,1579716722,72,47.67,-52.73,21.0,5.82
344,mikkeli,75,FI,1579716957,79,61.67,27.25,28.4,6.93
345,baykit,100,RU,1579716958,97,61.67,96.37,-16.2,3.13
346,kirakira,85,SB,1579716958,86,-10.45,161.92,77.09,5.53
347,tual,89,ID,1579716958,79,-5.67,132.75,82.09,11.18
348,deputatskiy,93,RU,1579716958,92,69.3,139.9,-23.6,4.18
349,comodoro rivadavia,99,BR,1579716958,75,-13.66,-59.79,82.18,7.83
350,domoni,100,KM,1579716958,80,-12.26,44.53,82.17,22.15
351,alofi,46,NU,1579716813,100,-19.06,-169.92,66.2,2.24
352,poshekhonye,66,RU,1579716979,86,58.5,39.14,26.53,11.72
353,launceston,90,AU,1579716979,93,-41.45,147.17,55.0,12.75
354,huilong,87,CN,1579716980,97,31.81,121.66,46.99,1.99
355,port-gentil,75,GA,1579716980,89,-0.72,8.78,84.2,9.17
356,yelizovo,0,RU,1579716980,70,53.19,158.38,-5.8,8.95
357,batagay-alyta,97,RU,1579716980,98,67.8,130.41,-21.05,0.69
358,iqaluit,40,CA,1579716980,67,63.75,-68.51,-22.0,2.24
359,husavik,20,IS,1579716980,35,66.04,-17.34,41.0,49.44
360,tyazhinskiy,100,RU,1579716981,87,56.12,88.52,12.94,7.58
361,coronado,20,US,1579716981,71,32.69,-117.18,61.0,4.7
362,fenoarivo,75,MG,1579716981,100,-18.93,47.44,64.4,5.82
363,marystown,59,CA,1579716981,65,47.17,-55.15,21.43,12.77
364,mezen,95,RU,1579716981,87,65.85,44.24,22.06,14.79
365,peniche,75,PT,1579716981,93,39.36,-9.38,50.0,11.41
366,mercedes,12,AR,1579716981,55,-34.65,-59.43,89.01,1.99
367,bengkulu,100,ID,1579716982,99,-3.8,102.27,73.76,4.14
368,borzya,24,RU,1579716982,85,50.38,116.52,-4.95,13.24
369,ahome,90,MX,1579716982,72,25.92,-109.18,70.0,13.87
370,vidor,90,US,1579716982,93,30.13,-94.02,48.2,11.41
371,dunedin,28,NZ,1579716823,91,-45.87,170.5,61.0,11.23
372,rocha,12,UY,1579716982,44,-34.48,-54.33,83.84,14.76
373,crotone,29,IT,1579716982,87,39.09,17.12,44.6,3.36
374,ulaanbaatar,1,MN,1579716714,75,47.91,106.88,-14.8,2.24
375,shenjiamen,100,CN,1579716982,93,29.96,122.3,51.06,14.83
376,uyovu,98,TZ,1579716982,93,-3.28,31.53,67.33,4.38
377,kodarma,0,IN,1579716982,60,24.47,85.6,59.86,4.38
378,berlin,75,DE,1579716955,75,52.52,13.41,43.0,4.7
379,krasnogvardeyets,100,RU,1579716983,91,52.68,52.36,23.83,10.65
380,lebyazhye,100,RU,1579717004,92,55.27,66.49,21.25,20.74
381,sangar,100,RU,1579717004,83,63.92,127.47,-18.24,10.38
382,ahipara,24,NZ,1579717004,100,-35.17,173.17,55.99,6.2
383,port hedland,84,CD,1579716802,75,-7.03,29.76,76.51,0.74
384,konotop,100,UA,1579717004,95,51.24,33.2,33.64,21.09
385,idah,55,NG,1579717005,15,7.11,6.73,89.22,4.47
386,machilipatnam,23,IN,1579717005,88,16.17,81.13,75.2,3.18
387,akranes,75,IS,1579717005,80,64.32,-22.07,35.6,25.28
388,alamosa,1,US,1579716818,58,37.47,-105.87,33.8,3.36
389,tallahassee,1,US,1579716766,34,30.44,-84.28,54.0,6.93
390,kalianget,42,ID,1579717005,73,-7.05,113.93,82.35,3.13
391,muisne,42,EC,1579717005,82,0.6,-80.03,80.29,7.0
392,kerema,81,PG,1579717005,84,-7.96,145.78,74.79,2.98
393,maracaibo,100,VE,1579716931,62,10.63,-71.64,84.38,2.57
394,strelka,18,RU,1579717006,98,58.07,93.03,-14.26,5.32
395,fortuna,90,US,1579717006,66,40.6,-124.16,54.0,8.05
396,coihaique,20,CL,1579716846,47,-45.58,-72.07,75.2,4.7
397,alice springs,90,US,1579717006,88,27.75,-98.07,64.4,16.11
398,bratsk,0,RU,1579717006,83,56.13,101.61,-13.0,4.47
399,oranjestad,75,AW,1579717006,83,12.52,-70.03,80.6,18.34
400,kulhudhuffushi,98,MV,1579717006,78,6.62,73.07,83.91,20.0
401,college,75,US,1579717006,76,64.86,-147.8,-5.8,0.94
402,soyo,75,AO,1579717007,79,-6.13,12.37,84.2,6.93
403,behbahan,90,IR,1579717007,93,30.6,50.24,59.0,10.36
404,abonnema,68,NG,1579717028,73,4.71,6.79,83.26,12.75
405,baiyin,74,CN,1579717028,72,36.56,104.21,21.0,4.47
406,kenai,75,US,1579716903,61,60.55,-151.26,15.8,3.36
407,aguas formosas,90,ES,1579717028,100,42.2,-0.21,42.8,4.7
408,pasni,5,PK,1579717028,65,25.26,63.47,65.88,4.47
409,vagay,100,RU,1579717029,91,57.94,69.02,16.97,12.17
410,tombouctou,36,ML,1579717029,19,20.0,-3.0,74.05,0.81
411,biak,43,ID,1579717029,72,-0.91,122.88,80.91,6.67
412,pimentel,75,PE,1579717029,29,-6.84,-79.93,66.2,5.82
413,sao gabriel da cachoeira,65,IN,1579716801,41,20.51,76.21,75.06,1.97
414,bangassou,70,CF,1579717029,26,4.74,22.82,76.68,2.37
415,barbate,75,ES,1579717029,87,36.19,-5.92,55.4,6.93
416,petropavl,100,KZ,1579717029,93,54.88,69.16,21.29,19.71
417,villamontes,40,BO,1579717029,41,-21.25,-63.5,96.8,17.22
418,sitka,90,US,1579717029,93,57.05,-135.33,37.4,3.36
419,alencon,0,FR,1579717030,74,48.43,0.08,37.4,9.17
420,san quintin,67,ML,1579716902,15,13.3,-4.9,91.0,7.2
421,lashio,0,MM,1579717030,69,22.93,97.75,52.56,1.81
422,lokomotivnyy,100,RU,1579717030,88,53.01,60.57,28.54,19.53
423,brigantine,1,US,1579716740,40,39.41,-74.36,39.0,2.86
424,coro,72,VE,1579716785,71,11.4,-69.67,82.98,13.87
425,ulaangom,98,MN,1579717030,86,49.98,92.07,-4.83,1.72
426,leeton,100,AU,1579717030,13,-34.57,146.4,91.4,21.92
427,san miguel,67,ML,1579716902,15,13.3,-4.9,91.0,7.2
428,torva,77,EE,1579717030,64,58.0,25.93,33.8,13.87
429,tazmalt,6,DZ,1579717031,54,36.39,4.4,59.0,6.93
430,bukachacha,66,RU,1579717031,92,52.98,116.92,-15.84,3.94
431,quelimane,20,MZ,1579717031,83,-17.88,36.89,78.8,8.05
432,izhma,100,RU,1579717031,97,65.01,53.91,10.65,3.69
433,iracoubo,46,GF,1579717031,72,5.48,-53.2,78.73,11.39
434,tilichiki,100,RU,1579717031,94,60.47,166.1,-9.96,6.76
435,never,0,FR,1579717031,76,46.99,3.16,37.4,6.82
436,nushki,0,PK,1579717031,53,29.55,66.02,47.52,2.35
437,les cayes,92,ES,1579717031,97,42.81,0.71,48.99,4.32
438,dingle,53,PH,1579717031,84,11.0,122.67,70.11,11.03
439,ketchikan,90,US,1579717032,81,55.34,-131.65,44.6,24.16
440,vestbjerg,0,DK,1579717032,94,57.13,9.96,39.0,7.52
441,gizeh,40,EG,1579717032,50,30.01,31.21,57.2,4.7
442,clyde river,1,US,1579717032,63,41.3,-82.98,34.0,14.99
443,puerto carreno,75,ES,1579717032,87,36.59,-6.23,51.8,10.29
444,yibin,98,CN,1579717032,60,28.77,104.62,53.74,2.1
445,daoukro,65,CI,1579716964,38,7.06,-3.96,89.92,1.86
446,belyy yar,87,RU,1579717032,80,55.84,32.94,28.2,10.69
447,eyl,19,SO,1579717054,82,7.98,49.82,78.01,26.73
448,taganak,20,PH,1579717054,78,6.08,118.3,78.8,4.7
449,bernardino de campos,40,DO,1579717054,66,18.84,-70.02,86.0,11.41
450,malpe,0,IN,1579717054,69,13.35,74.72,78.8,3.36
451,port-cartier,90,CA,1579717054,78,50.03,-66.87,17.6,9.17
452,severodvinsk,75,RU,1579716935,85,64.56,39.83,24.8,8.95
453,vicuna,75,CL,1579717054,68,-30.03,-70.71,69.8,11.41
454,chernyshevskiy,75,RU,1579717054,97,63.01,112.47,-38.51,4.5
455,matara,99,LK,1579717054,86,5.95,80.54,75.92,8.21
456,tahe,100,CN,1579717054,98,52.33,124.73,-2.43,2.13
457,paraiso,75,CR,1579717055,60,9.84,-83.87,77.0,19.46
458,klaksvik,100,FO,1579717055,100,62.23,-6.59,44.6,11.41
459,charters towers,1,US,1579717055,40,38.57,-83.43,37.4,4.7
460,grand gaube,90,US,1579717035,100,38.88,-109.5,35.01,2.82
461,manokwari,48,ID,1579717055,74,-0.87,134.08,73.69,2.98
462,atambua,72,ID,1579717055,86,-9.11,124.89,75.29,2.17
463,miyako,70,JP,1579717055,58,39.64,141.95,34.97,8.68
464,pangai,20,TO,1579717055,100,-19.8,-174.35,73.4,4.68
465,otavi,59,NA,1579717055,60,-19.65,17.33,73.49,7.61
466,challapata,100,BO,1579717055,69,-18.9,-66.77,53.76,15.28
467,carndonagh,75,IE,1579717056,93,55.25,-7.27,50.0,4.7
468,westport,1,US,1579716882,40,41.14,-73.36,37.99,7.05
469,assiniboia,100,CA,1579717056,89,49.63,-105.98,27.28,3.76
470,jiuquan,17,CN,1579717056,34,39.74,98.52,13.66,4.54
471,christiana,51,ZA,1579717056,15,-27.91,25.16,81.1,10.67
472,krasnogorodsk,67,RU,1579717056,74,56.83,28.28,31.6,14.61
473,lahat,100,ID,1579717056,99,-3.8,103.53,69.62,0.96
474,vila velha,80,PT,1579717056,62,42.03,-8.16,57.99,9.17
475,jeremie,70,HT,1579717056,86,18.65,-74.12,72.21,1.25
476,krasnoarmeysk,100,RU,1579717056,76,51.02,45.7,34.0,5.01
477,ishigaki,100,JP,1579717056,74,24.34,124.16,72.05,13.8
478,karangampel,4,ID,1579717057,77,-6.46,108.45,80.22,3.89
479,touros,40,BR,1579717057,62,-5.2,-35.46,87.8,12.75
480,vila franca do campo,80,PT,1579717057,62,42.03,-8.16,57.99,9.17
481,bako,100,ET,1579717057,55,5.78,36.57,71.06,5.32
482,ormara,0,PK,1579717057,53,25.21,64.64,73.08,12.44
483,puerto colombia,75,ES,1579717032,87,36.59,-6.23,51.8,10.29
484,zhongshu,0,CN,1579717057,79,24.52,103.77,50.05,5.44
485,ileza,100,RU,1579717057,91,61.05,43.9,21.0,10.22
486,mago,100,RU,1579717078,94,53.25,140.18,-6.97,2.66
487,berezanka,100,UA,1579717078,64,46.85,31.39,39.7,14.85
488,sukumo,100,JP,1579717078,87,32.93,132.73,60.89,18.07
489,turka,100,UA,1579717079,81,49.15,23.03,33.01,5.01
490,tinago,6,PH,1579717079,87,13.18,123.65,71.38,8.66
491,snasa,75,NO,1579717079,93,64.25,12.38,35.6,11.41
492,banikoara,57,BJ,1579717079,11,11.3,2.44,85.77,5.91
493,pontes e lacerda,75,BR,1579717079,59,-4.83,-43.37,89.6,3.36
494,margate,90,GB,1579717079,100,51.38,1.39,44.6,4.41
495,san borja,67,ML,1579716902,15,13.3,-4.9,91.0,7.2
496,mandurah,90,AU,1579717079,68,-32.55,115.7,66.99,6.93
497,ust-nera,100,RU,1579717079,99,64.57,143.2,-34.6,2.24
498,morinville,90,CA,1579717080,100,53.8,-113.65,26.6,6.93
499,palmerston,75,AU,1579717080,88,-12.49,130.98,82.99,10.29
500,qingdao,79,CN,1579717080,77,36.1,120.37,37.0,2.24
501,akdepe,0,TM,1579717080,59,42.06,59.38,37.4,13.87
502,nantucket,1,US,1579716985,43,41.28,-70.1,36.0,10.29
503,esperance,75,AU,1579717080,93,-33.87,121.9,59.0,13.87
504,belmonte,75,BR,1579717080,88,-15.86,-38.88,78.8,13.87
505,carutapera,80,BR,1579717080,79,-1.2,-46.02,81.41,18.25
506,aborlan,61,PH,1579717080,95,9.44,118.55,70.59,3.2
507,cayenne,20,GF,1579717080,62,4.93,-52.33,86.0,9.17
508,smithers,75,CA,1579717081,92,54.78,-127.17,23.0,2.75
509,pokosnoye,0,RU,1579717081,98,55.53,101.05,-15.97,3.78
510,kathu,20,TH,1579717081,83,7.92,98.33,77.0,1.12
511,imeni poliny osipenko,54,NG,1579717081,16,7.32,5.96,86.76,5.28
512,biggar,75,GB,1579716915,93,55.62,-3.52,51.01,9.17
513,gaziantep,4,TR,1579717071,64,37.06,37.38,37.4,2.24
514,boddam,75,GB,1579717081,93,57.47,-1.78,52.0,2.24
515,rawson,17,AR,1579717082,56,-43.3,-65.1,70.68,10.4
516,sadiqabad,0,PK,1579717082,56,28.31,70.13,56.59,2.39
517,barcelona,75,ES,1579717082,93,41.39,2.16,57.99,20.8
518,brzesko,75,PL,1579717082,91,49.97,20.61,35.01,10.29
519,coruripe,91,BR,1579717082,76,-10.13,-36.18,83.17,21.05
520,toamasina,75,MG,1579717082,100,-18.17,49.38,73.4,6.93
521,pangkalanbuun,100,ID,1579717082,97,-2.68,111.62,75.0,1.68
522,fuerte olimpo,12,PH,1579717082,87,17.54,120.36,65.75,4.56
523,san juan,67,ML,1579716902,15,13.3,-4.9,91.0,7.2
524,nishihara,75,JP,1579717082,82,26.18,127.76,66.2,4.7
525,kokoda,94,PG,1579717082,91,-8.88,147.74,61.48,1.97
526,mecca,0,SA,1579716903,59,21.43,39.83,59.36,13.51
527,salinopolis,73,BR,1579717083,77,-0.61,-47.36,81.12,18.14
528,timmins,90,CA,1579716818,90,48.47,-81.33,32.0,9.17
529,saint-joseph,75,RE,1579717083,88,-21.37,55.62,80.6,12.75
530,basoko,100,CD,1579717083,34,1.24,23.62,79.66,1.39
531,wanning,50,CN,1579717083,92,18.8,110.4,68.72,3.4
532,keti bandar,20,AM,1579717083,62,40.87,43.84,19.4,2.24
533,mizdah,0,LY,1579717083,56,31.45,12.98,51.28,14.43
534,gorontalo,20,ID,1579717083,92,0.54,123.06,72.43,3.76
535,thoen,39,TH,1579717084,53,17.61,99.22,69.44,2.57
536,maibong,0,IN,1579717084,69,25.3,93.17,51.12,2.42
537,syracuse,75,IT,1579717081,100,37.09,15.28,53.6,5.68
538,guerrero negro,0,MX,1579717084,40,17.67,-100.0,72.66,1.7
539,cabedelo,75,BR,1579717084,70,-6.98,-34.83,84.2,12.75
540,turukhansk,100,RU,1579717084,95,65.82,87.98,-2.09,14.03
541,denpasar,40,ID,1579716996,88,-8.65,115.22,82.4,3.36
542,tulua,75,CO,1579717067,61,4.08,-76.2,80.6,6.93
543,yar-sale,100,RU,1579717084,92,66.83,70.83,4.12,19.33
544,saint-denis,1,FR,1579717084,61,48.92,2.33,35.01,5.82
545,adrar,97,MR,1579717084,19,20.5,-10.07,73.51,6.29
546,mpika,100,ZM,1579717085,98,-11.83,31.45,62.44,0.85
547,praia,100,CV,1579717106,47,14.92,-23.51,77.0,13.87
548,pringsewu,100,ID,1579717106,95,-5.36,104.97,73.94,3.91
549,saint-georges,40,GD,1579717106,66,12.06,-61.75,84.2,9.17
550,australind,59,AU,1579717106,58,-33.27,115.72,64.0,10.29
551,compostela,100,PH,1579717106,1,7.67,126.09,73.99,1.99
552,sandwick,75,GB,1579717106,93,60.0,-1.25,48.2,16.11
553,port blair,84,CD,1579717106,75,-7.03,29.76,76.51,0.74
554,baherden,0,TM,1579717106,61,38.44,57.43,36.34,8.34
